A1,1613
B1,1519
C1,1484
D1,1480
E1,1485
F1,1490
G1,1529
H1,1731
A2,23921
B2,28955
C2,28906
D2,29801
E2,28607
F2,30180
G2,29082
H2,27705
A3,25407
B3,28006
C3,33014
D3,32886
E3,35017
F3,25393
G3,30054
H3,26784
A4,25691
B4,29460
C4,33743
D4,30861
E4,31500
F4,7988
G4,27860
H4,26511
A5,24735
B5,28452
C5,30666
D5,31408
E5,32816
F5,31731
G5,7247
H5,26988
A6,25208
B6,29532
C6,20053
D6,32351
E6,32589
F6,31285
G6,2429
H6,27960
A7,26674
B7,30036
C7,30300
D7,32093
E7,31806
F7,31458
G7,21724
H7,27973
A8,24053
B8,29016
C8,34500
D8,33420
E8,31894
F8,33315
G8,30808
H8,27548
A9,26140
B9,29348
C9,28913
D9,31784
E9,30430
F9,30647
G9,30024
H9,6643
A10,23649
B10,28794
C10,27926
D10,30893
E10,31153
F10,29227
G10,24477
H10,26731
A11,24021
B11,27920
C11,27398
D11,28497
E11,28581
F11,28061
G11,27235
H11,24434
A12,23110
B12,24680
C12,24632
D12,26825
E12,25413
F12,24668
G12,24291
H12,20480

