A1,1398
B1,1350
C1,1338
D1,1331
E1,1357
F1,1329
G1,1340
H1,1457
A2,30956
B2,33989
C2,24364
D2,33341
E2,33639
F2,33452
G2,35406
H2,29381
A3,31412
B3,32522
C3,33945
D3,32925
E3,32936
F3,32977
G3,33617
H3,30138
A4,31701
B4,32989
C4,32874
D4,5618
E4,30016
F4,32235
G4,32466
H4,29735
A5,28859
B5,33714
C5,32318
D5,33266
E5,32438
F5,35206
G5,30777
H5,27601
A6,29140
B6,35325
C6,35704
D6,32829
E6,32158
F6,31755
G6,32123
H6,28843
A7,29436
B7,31447
C7,32689
D7,32588
E7,33547
F7,32834
G7,33067
H7,28332
A8,28251
B8,31214
C8,32242
D8,33286
E8,32365
F8,31818
G8,26459
H8,10839
A9,29012
B9,31931
C9,32499
D9,32038
E9,32689
F9,31887
G9,29833
H9,28372
A10,28644
B10,8558
C10,31773
D10,31870
E10,31751
F10,31013
G10,31076
H10,27462
A11,27275
B11,31025
C11,31732
D11,30399
E11,33875
F11,31551
G11,32354
H11,27707
A12,25995
B12,28358
C12,27643
D12,28901
E12,28739
F12,26472
G12,27789
H12,25443

