A1,1658
B1,1578
C1,1558
D1,1550
E1,1555
F1,1568
G1,1594
H1,1731
A2,26175
B2,31175
C2,31323
D2,31966
E2,2104
F2,32213
G2,30350
H2,27103
A3,26344
B3,31515
C3,30929
D3,30453
E3,31648
F3,30615
G3,29398
H3,25989
A4,26066
B4,28943
C4,31121
D4,31180
E4,31382
F4,33713
G4,30012
H4,26582
A5,27164
B5,29612
C5,30441
D5,30970
E5,30705
F5,30609
G5,29989
H5,30639
A6,26934
B6,29618
C6,31146
D6,30685
E6,31401
F6,32827
G6,28529
H6,27231
A7,27087
B7,33765
C7,31204
D7,31985
E7,29682
F7,31552
G7,29526
H7,24280
A8,30935
B8,30422
C8,34272
D8,32338
E8,32626
F8,32280
G8,29462
H8,27874
A9,27272
B9,3191
C9,16663
D9,31243
E9,31268
F9,32197
G9,29449
H9,26676
A10,25133
B10,27844
C10,30499
D10,32661
E10,30373
F10,30052
G10,29384
H10,31036
A11,25292
B11,27987
C11,29178
D11,31372
E11,30130
F11,29468
G11,31549
H11,25798
A12,23107
B12,26644
C12,27458
D12,27244
E12,25950
F12,27700
G12,27107
H12,24178

