A1,1326
B1,1308
C1,1285
D1,1286
E1,1281
F1,1285
G1,1296
H1,1385
A2,15714
B2,36178
C2,29165
D2,36239
E2,16076
F2,35882
G2,35527
H2,34723
A3,35282
B3,36015
C3,24030
D3,36104
E3,35740
F3,35485
G3,34756
H3,35279
A4,34266
B4,35724
C4,35836
D4,1193
E4,35506
F4,35987
G4,35220
H4,34219
A5,34790
B5,35964
C5,35894
D5,35779
E5,35186
F5,24163
G5,15490
H5,33583
A6,33757
B6,34131
C6,34313
D6,35718
E6,35427
F6,24923
G6,33932
H6,34204
A7,33319
B7,35548
C7,35533
D7,25136
E7,35828
F7,35623
G7,35316
H7,34353
A8,34993
B8,35138
C8,35623
D8,7165
E8,36389
F8,35972
G8,35321
H8,2472
A9,32711
B9,34563
C9,35781
D9,35569
E9,35693
F9,35817
G9,35244
H9,34075
A10,33806
B10,12036
C10,35525
D10,31516
E10,36025
F10,35031
G10,35036
H10,34712
A11,34814
B11,35308
C11,12733
D11,35766
E11,34352
F11,27755
G11,35648
H11,34569
A12,30193
B12,33804
C12,35184
D12,35375
E12,1321
F12,1318
G12,1319
H12,1387

