A1,1541
B1,1479
C1,1465
D1,1444
E1,1431
F1,1427
G1,1439
H1,1548
A2,29140
B2,35675
C2,35450
D2,34869
E2,1818
F2,33560
G2,34722
H2,33896
A3,31536
B3,34950
C3,33926
D3,32746
E3,34688
F3,34520
G3,34459
H3,33718
A4,34113
B4,34083
C4,35105
D4,34142
E4,34868
F4,35170
G4,34226
H4,33577
A5,32880
B5,32769
C5,35339
D5,34107
E5,34875
F5,33728
G5,33906
H5,18059
A6,31074
B6,34778
C6,32223
D6,34482
E6,34885
F6,5997
G6,34517
H6,32607
A7,34108
B7,34814
C7,35965
D7,35382
E7,2942
F7,34685
G7,34706
H7,33458
A8,32854
B8,35306
C8,19039
D8,31411
E8,35090
F8,32417
G8,34382
H8,31922
A9,34859
B9,1684
C9,5214
D9,34548
E9,30437
F9,12513
G9,29723
H9,33688
A10,34516
B10,33845
C10,33709
D10,3476
E10,31604
F10,33406
G10,29544
H10,29813
A11,33476
B11,3206
C11,30696
D11,10617
E11,25104
F11,32459
G11,4832
H11,31874
A12,31455
B12,31094
C12,30523
D12,32105
E12,1522
F12,1524
G12,1505
H12,1612

